site_name,plot_type,plot,quadratLatitude,quadratLongitude,quadrat_elevation
North Beach,Barnacle,1,51.66658621,-128.133988,4.2
North Beach,Barnacle,2,51.66658691,-128.1340112,4.2
North Beach,Barnacle,3,51.6665983,-128.1340125,4.2
North Beach,Barnacle,4,51.6666107,-128.134031,4.1
North Beach,Barnacle,5,51.66659945,-128.1340271,4.2
North Beach,Mussel,1,51.66693555,-128.1338996,3.4
North Beach,Mussel,2,51.66686531,-128.133897,3.5
North Beach,Mussel,3,51.66685992,-128.1339414,3.4
North Beach,Mussel,4,51.66682019,-128.1339747,2.9
North Beach,Mussel,5,51.66679956,-128.1339476,3.4
North Beach,Fucus,1,51.66542319,-128.1350053,3
North Beach,Fucus,2,51.66541243,-128.1350337,3
North Beach,Fucus,3,51.66539898,-128.1350171,3
North Beach,Fucus,4,51.66539187,-128.1350452,2.5
North Beach,Fucus,5,51.66533584,-128.1350416,2.3
West Beach,Barnacle,1,51.65737776,-128.1487204,3.8
West Beach,Barnacle,2,51.65740911,-128.1487117,3.8
West Beach,Barnacle,3,51.65740828,-128.1487008,4
West Beach,Barnacle,4,51.65741978,-128.1486897,3.9
West Beach,Barnacle,5,51.65743044,-128.1487072,3.9
West Beach,Mussel,1,51.65644375,-128.1485887,3.5
West Beach,Mussel,2,51.65645742,-128.1486103,3.5
West Beach,Mussel,3,51.65645922,-128.1486361,3.4
West Beach,Mussel,4,51.65648912,-128.1487021,3.7
West Beach,Mussel,5,51.65649455,-128.1487054,3.8
West Beach,Fucus,1,51.65741251,-128.1486409,3.6
West Beach,Fucus,2,51.65742525,-128.148649,3.2
West Beach,Fucus,3,51.65745355,-128.1487428,3.2
West Beach,Fucus,4,51.65746382,-128.1487586,2.9
West Beach,Fucus,5,51.65746455,-128.1487832,3.1
Fifth Beach,Barnacle,1,51.64077421,-128.156788,3.1
Fifth Beach,Barnacle,2,51.6407298,-128.1568775,4.1
Fifth Beach,Barnacle,3,51.64072329,-128.1569082,3.9
Fifth Beach,Barnacle,4,51.64071528,-128.1569339,3.6
Fifth Beach,Barnacle,5,51.64073001,-128.1569315,3.2
Fifth Beach,Mussel,1,51.64066727,-128.1568717,3.9
Fifth Beach,Mussel,2,51.64066637,-128.1568832,3.8
Fifth Beach,Mussel,3,51.64066795,-128.1569008,3.7
Fifth Beach,Mussel,4,51.64065258,-128.1568855,3.5
Fifth Beach,Mussel,5,51.64066025,-128.1569049,3.5
Fifth Beach,Fucus,1,51.6400406,-128.1561644,3
Fifth Beach,Fucus,2,51.64002173,-128.1561764,2.8
Fifth Beach,Fucus,3,51.64001019,-128.156192,2.7
Fifth Beach,Fucus,4,51.6400034,-128.1561734,2.8
Fifth Beach,Fucus,5,51.63998264,-128.156141,2.7
